variant_name,model_name,split_name,true_distance_m,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
baseline_full_geometry,blend,real_external,10.0,10.0,20.105382424281732,19,10.105382424281734,10.075156294080948,1.0105382424281737,1.0075156294080947,10.109101790485955,0.0,10.105382424281734,10.075156294080948,10.505025467936198,10.578752760484484,10.620331620958119,0.0,0.3684210526315789,1.0,1.0,0.0
baseline_full_geometry,blend,real_external,15.0,15.0,29.670435505270166,44,14.670435505270172,11.01966124408056,0.9780290336846782,0.734644082938704,15.881623560872068,0.0,14.670435505270172,11.01966124408056,23.6098127756449,25.91002380799309,27.733386436631946,0.0,0.20454545454545456,0.7272727272727273,1.0,0.0
baseline_full_geometry,blend,real_external,20.0,20.0,40.035276759654415,46,20.035276759654415,21.731614969017393,1.001763837982721,1.0865807484508696,22.095554278409793,0.0,20.035276759654415,21.731614969017393,32.794860810998,34.53438330901615,38.64373928887908,0.0,0.10869565217391304,0.45652173913043476,1.0,0.0
baseline_full_geometry,blend,real_external,25.0,25.0,46.879647851190946,42,21.879647851190946,17.144815417286708,0.8751859140476379,0.6857926166914683,24.05861654674612,0.0,21.879647851190946,17.144815417286708,36.22359005369544,38.40824901916417,41.20850150313507,0.0,0.047619047619047616,0.6190476190476191,1.0,0.0
baseline_full_geometry,blend,real_external,30.0,30.0,58.88979671041001,35,28.889796710410007,29.96305003816215,0.9629932236803338,0.998768334605405,31.670884695308583,0.0,28.889796710410007,29.96305003816215,44.456031946023096,48.58051941578355,61.85113507557185,0.0,0.0,0.3142857142857143,1.0,0.0
baseline_full_geometry,blend,real_external,35.0,35.0,65.84484961015382,47,30.844849610153823,20.86000750338438,0.8812814174329667,0.5960002143824109,37.32158592709925,0.0,30.844849610153823,20.86000750338438,57.84765480528619,68.63538711745545,71.10244504408922,0.02127659574468085,0.1276595744680851,0.48936170212765956,1.0,0.0
baseline_full_geometry,blend,real_external,4.0,4.0,19.919549152779286,18,15.919549152779284,15.959802688114227,3.979887288194821,3.9899506720285567,15.921821311817212,0.0,15.919549152779284,15.959802688114227,16.20962289191352,16.259216139366515,16.379086831616604,0.0,0.0,1.0,1.0,0.0
baseline_full_geometry,blend,real_external,40.0,40.0,73.79023367863458,37,33.790233678634586,35.92545292974239,0.8447558419658645,0.8981363232435597,38.62636081483024,0.0,33.790233678634586,35.92545292974239,60.26122525363518,63.80458077188777,66.9733700853211,0.0,0.13513513513513514,0.32432432432432434,1.0,0.0
baseline_full_geometry,blend,real_external,45.0,45.0,88.62520597577983,39,43.625205975779814,51.35267343091206,0.9694490216839966,1.1411705206869347,47.99804451556133,0.0,43.625205975779814,51.35267343091206,66.78672982301966,67.7031512360191,71.49686332084323,0.0,0.05128205128205128,0.10256410256410256,1.0,0.0
baseline_full_geometry,blend,real_external,5.0,5.0,22.969168365559252,6,17.969168365559252,17.99974087180486,3.5938336731118508,3.5999481743609723,17.970815279938478,0.0,17.969168365559252,17.99974087180486,18.237543209499783,18.276548405965173,18.31555360243056,0.0,0.0,1.0,1.0,0.0
baseline_full_geometry,blend,real_external,50.0,50.0,87.16457514505866,42,37.16457514505866,32.899215496838735,0.7432915029011733,0.6579843099367747,41.1956283130983,0.0,37.16457514505866,32.899215496838735,61.460580316199575,63.06899089394244,67.17385533992731,0.0,0.0,0.19047619047619047,1.0,0.0
baseline_full_geometry,blend,real_external,55.0,55.0,75.02104521172564,20,20.021045211725628,21.34075917709235,0.3640190038495569,0.38801380321986095,20.79555421252241,0.0,20.021045211725628,21.34075917709235,24.831587522723368,25.47922565842378,34.784654669970195,0.0,0.05,0.45,1.0,0.0
baseline_full_geometry,blend,real_external,60.0,60.0,72.53868591175626,13,12.538685911756264,12.322643812966533,0.2089780985292711,0.20537739688277554,13.708712546659092,0.0,12.538685911756264,12.322643812966533,15.259836489917557,20.584824002631972,28.524916191202266,0.07692307692307693,0.3076923076923077,0.9230769230769231,1.0,0.0
baseline_full_geometry,blend,real_external,65.0,65.0,90.39029301061849,19,25.390293010618507,28.17325926378038,0.39061989247105394,0.4334347579043136,27.706436655685565,0.0,25.390293010618507,28.17325926378038,36.89188045185252,38.2534496443208,39.40144711660682,0.0,0.15789473684210525,0.3157894736842105,1.0,0.0
baseline_full_geometry,blend,real_external,70.0,70.0,110.82101669574494,12,40.82101669574495,44.08389001944842,0.5831573813677852,0.6297698574206917,41.72079545973479,0.0,40.82101669574495,44.08389001944842,48.9853596998627,49.46127339084907,49.97673732795468,0.0,0.0,0.0,1.0,0.0
baseline_full_geometry,blend,real_external,75.0,75.0,114.17343296822769,24,39.17343296822769,38.90509573555813,0.5223124395763691,0.5187346098074417,39.55991527448264,0.0,39.17343296822769,38.90509573555813,45.06880616621825,45.77611651303655,54.09405540256313,0.0,0.0,0.0,1.0,0.0
baseline_full_geometry,blend,real_external,9.0,9.0,22.755016090262032,26,13.755016090262028,13.727113632363618,1.5283351211402258,1.525234848040402,13.76861323306919,0.0,13.755016090262028,13.727113632363618,14.607474780225,14.689714627026758,14.763547962588358,0.0,0.0,1.0,1.0,0.0
baseline_full_geometry,rf,real_external,10.0,10.0,20.116063074352546,19,10.116063074352548,10.079365079365079,1.0116063074352546,1.007936507936508,10.116451265357343,0.0,10.116063074352548,10.079365079365079,10.230555555555554,10.236944444444443,10.294444444444444,0.0,0.05263157894736842,1.0,1.0,0.0
baseline_full_geometry,rf,real_external,15.0,15.0,30.935941897958944,44,15.935941897958946,11.30185425685426,1.0623961265305961,0.7534569504569506,17.650732307491438,0.0,15.935941897958946,11.30185425685426,27.119489926739917,29.21663077200577,31.355180375180375,0.0,0.2727272727272727,0.6363636363636364,1.0,0.0
baseline_full_geometry,rf,real_external,20.0,20.0,42.53807415804107,46,22.538074158041074,25.138154761904758,1.1269037079020536,1.2569077380952378,24.95535503145586,0.0,22.538074158041074,25.138154761904758,36.613557229807235,38.147907046657025,43.36941798941801,0.0,0.0,0.45652173913043476,1.0,0.0
baseline_full_geometry,rf,real_external,25.0,25.0,49.90727343388122,42,24.90727343388122,18.582599206349204,0.996290937355249,0.7433039682539682,27.56481675123704,0.0,24.90727343388122,18.582599206349204,41.93429287161337,43.98085929592976,47.6438881097086,0.0,0.0,0.5714285714285714,1.0,0.0
