model_name,model_type,ridge_alpha,term,coefficient
top_2_ols,ols,0.0,intercept,132.7164316258093
top_2_ols,ols,0.0,bbox_only__bbox_midpoint__object_depth,-18.367166596574965
top_2_ols,ols,0.0,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,-6.559576852121217
top_2_ridge_alpha_1,ridge,1.0,intercept,132.50728699828306
top_2_ridge_alpha_1,ridge,1.0,bbox_only__bbox_midpoint__object_depth,-18.278581075992545
top_2_ridge_alpha_1,ridge,1.0,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,-6.602938778097338
top_2_ridge_alpha_10,ridge,10.0,intercept,130.8233984973297
top_2_ridge_alpha_10,ridge,10.0,bbox_only__bbox_midpoint__object_depth,-17.572088157059298
top_2_ridge_alpha_10,ridge,10.0,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,-6.92789526821095
top_3_ols,ols,0.0,intercept,134.55166182052204
top_3_ols,ols,0.0,bbox_only__bbox_midpoint__object_depth,-15.219195538473768
top_3_ols,ols,0.0,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,-4.409038789052861
